;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;0;0;1;16;16;1;7;7;1;0;0;1;5;5;1;0;0;1;18;18;1;10;10;1;5;5;1;0;0;1;47;47;1;40;40;1;43;43;1;31;31;1;15;15;1;33;33;1;31;31;1;30;30;1;84;84;1;38;38
;2;0;0;;;;2;7;7;2;8;8;2;19;19;2;25;25;2;18;18;2;50;50;2;13;13;2;21;21;2;72;72;2;47;47;2;105;105;2;71;71;2;22;22;2;74;74;2;70;70;2;121;121;2;145;145;2;63;63
;3;0;0;;;;3;7;7;3;8;8;;;;3;48;48;3;28;28;3;74;74;3;25;25;3;35;35;3;97;97;3;47;47;3;115;115;3;85;85;3;42;42;3;124;124;3;157;157;3;190;190;3;214;214;3;74;74
;4;14;14;;;;4;13;13;4;25;25;;;;4;61;61;4;33;33;4;84;84;4;38;38;4;48;48;4;141;141;4;69;69;4;158;158;4;102;102;4;121;121;4;124;124;4;247;247;4;245;245;4;306;306;4;104;104
;5;21;21;;;;;;;5;33;33;;;;5;70;70;5;43;43;5;97;97;5;49;49;5;62;62;5;164;164;5;105;105;5;192;192;5;115;115;5;134;134;5;177;177;5;311;311;5;291;291;5;360;360;5;146;146
;6;21;21;;;;;;;6;48;48;;;;6;79;79;6;43;43;6;128;128;6;49;49;6;73;73;6;182;182;6;116;116;6;202;202;6;130;130;6;156;156;6;233;233;6;351;351;6;368;368;6;398;398;6;170;170
;7;28;28;;;;;;;7;55;55;;;;7;112;112;7;50;50;7;153;153;7;58;58;7;81;81;7;194;194;7;132;132;7;230;230;7;166;166;7;162;162;7;279;279;7;378;378;7;470;470;7;481;481;7;237;237
;8;28;28;;;;;;;8;63;63;;;;8;112;112;8;50;50;8;163;163;8;58;58;8;110;110;8;222;222;8;143;143;8;240;240;8;202;202;8;217;217;8;306;306;8;389;389;8;507;507;8;491;491;8;291;291
;9;41;41;;;;;;;9;78;78;;;;9;112;112;9;80;80;9;171;171;9;79;79;9;110;110;9;262;262;9;143;143;9;272;272;9;216;216;9;280;280;9;324;324;9;410;410;9;564;564;9;525;525;9;334;334
;10;41;41;;;;;;;10;78;78;;;;10;119;119;10;80;80;10;179;179;10;87;87;10;137;137;10;284;284;10;172;172;10;313;313;10;216;216;10;313;313;10;410;410;10;473;473;10;645;645;10;567;567;10;360;360
;11;54;54;;;;;;;11;78;78;;;;11;119;119;11;91;91;11;179;179;11;87;87;11;161;161;11;307;307;11;199;199;11;344;344;11;230;230;11;357;357;11;442;442;11;494;494;11;694;694;11;644;644;11;427;427
;;;;;;;;;;12;78;78;;;;12;147;147;12;101;101;12;187;187;12;115;115;12;172;172;12;349;349;12;259;259;12;356;356;12;251;251;12;371;371;12;483;483;12;546;546;12;755;755;12;665;665;12;463;463
;;;;;;;;;;13;91;91;;;;13;158;158;13;107;107;13;213;213;13;123;123;13;172;172;13;349;349;13;289;289;13;376;376;13;280;280;13;425;425;13;543;543;13;595;595;13;811;811;13;715;715;13;463;463
;;;;;;;;;;14;91;91;;;;14;158;158;14;107;107;14;226;226;;;;14;172;172;14;372;372;14;317;317;14;420;420;14;280;280;14;442;442;14;630;630;14;677;677;14;826;826;14;806;806;14;498;498
;;;;;;;;;;15;91;91;;;;15;185;185;15;122;122;15;226;226;;;;15;184;184;15;404;404;15;341;341;15;442;442;15;280;280;15;449;449;15;630;630;15;721;721;15;903;903;15;850;850;15;532;532
;;;;;;;;;;16;105;105;;;;16;185;185;16;133;133;16;251;251;;;;16;184;184;16;439;439;16;375;375;16;464;464;16;303;303;16;497;497;16;732;732;16;753;753;16;940;940;16;888;888;16;557;557
;;;;;;;;;;17;113;113;;;;17;203;203;17;151;151;17;262;262;;;;17;215;215;17;455;455;17;401;401;17;475;475;17;345;345;17;526;526;17;791;791;17;797;797;17;974;974;17;986;986;17;598;598
;;;;;;;;;;18;121;121;;;;18;203;203;18;164;164;18;280;280;;;;18;225;225;18;517;517;18;408;408;18;506;506;18;359;359;18;559;559;18;830;830;18;840;840;18;1039;1039;18;1047;1047;18;598;598
;;;;;;;;;;19;128;128;;;;19;211;211;19;164;164;19;290;290;;;;19;251;251;19;539;539;19;418;418;19;526;526;19;376;376;19;559;559;19;830;830;19;863;863;19;1073;1073;19;1120;1120;19;611;611
;;;;;;;;;;20;157;157;;;;20;226;226;20;194;194;20;309;309;;;;20;251;251;20;586;586;20;418;418;20;558;558;20;389;389;20;624;624;20;906;906;20;934;934;20;1116;1116;20;1153;1153;20;624;624
;;;;;;;;;;21;163;163;;;;21;251;251;21;194;194;21;330;330;;;;21;251;251;21;627;627;21;446;446;21;582;582;21;399;399;21;663;663;21;954;954;21;967;967;21;1194;1194;21;1191;1191;21;660;660
;;;;;;;;;;22;178;178;;;;22;251;251;22;201;201;22;340;340;;;;22;251;251;22;643;643;22;497;497;22;604;604;22;439;439;22;675;675;22;954;954;22;991;991;22;1235;1235;22;1246;1246;22;758;758
;;;;;;;;;;23;178;178;;;;23;273;273;23;212;212;23;361;361;;;;23;257;257;23;676;676;23;545;545;23;648;648;23;453;453;23;699;699;23;1033;1033;23;1048;1048;23;1289;1289;23;1265;1265;23;835;835
;;;;;;;;;;24;178;178;;;;24;273;273;24;212;212;24;372;372;;;;24;279;279;24;709;709;24;545;545;24;658;658;24;476;476;24;745;745;24;1060;1060;24;1096;1096;24;1315;1315;24;1293;1293;24;943;943
;;;;;;;;;;25;193;193;;;;25;291;291;25;231;231;25;398;398;;;;25;279;279;25;709;709;25;545;545;25;667;667;25;514;514;25;772;772;25;1091;1091;25;1142;1142;25;1403;1403;25;1361;1361;25;963;963
;;;;;;;;;;26;193;193;;;;26;300;300;;;;;;;;;;26;300;300;26;709;709;26;553;553;26;667;667;26;551;551;;;;26;1118;1118;26;1193;1193;26;1430;1430;;;;26;988;988
;;;;;;;;;;27;193;193;;;;;;;;;;;;;;;;27;321;321;27;735;735;27;572;572;27;667;667;27;574;574;;;;27;1148;1148;27;1193;1193;27;1477;1477;;;;27;1010;1010
;;;;;;;;;;28;193;193;;;;;;;;;;;;;;;;28;340;340;28;780;780;28;582;582;28;686;686;28;574;574;;;;28;1221;1221;28;1247;1247;28;1577;1577;;;;28;1060;1060
;;;;;;;;;;29;201;201;;;;;;;;;;;;;;;;29;340;340;29;792;792;29;603;603;29;722;722;29;574;574;;;;29;1267;1267;29;1247;1247;29;1644;1644;;;;29;1060;1060
;;;;;;;;;;30;201;201;;;;;;;;;;;;;;;;30;340;340;30;850;850;30;603;603;30;734;734;30;597;597;;;;30;1297;1297;30;1317;1317;30;1722;1722;;;;30;1126;1126
;;;;;;;;;;31;216;216;;;;;;;;;;;;;;;;31;363;363;31;869;869;31;639;639;31;757;757;31;651;651;;;;31;1365;1365;31;1361;1361;31;1787;1787;;;;31;1160;1160
;;;;;;;;;;32;230;230;;;;;;;;;;;;;;;;32;369;369;32;869;869;32;680;680;32;786;786;32;673;673;;;;32;1433;1433;;;;32;1834;1834;;;;32;1205;1205
;;;;;;;;;;33;245;245;;;;;;;;;;;;;;;;33;393;393;33;904;904;33;692;692;33;835;835;33;683;683;;;;33;1498;1498;;;;33;1856;1856;;;;33;1220;1220
;;;;;;;;;;34;252;252;;;;;;;;;;;;;;;;34;405;405;34;930;930;34;699;699;34;848;848;34;704;704;;;;34;1590;1590;;;;34;1875;1875;;;;34;1265;1265
;;;;;;;;;;35;260;260;;;;;;;;;;;;;;;;35;426;426;35;961;961;35;707;707;35;900;900;35;714;714;;;;35;1629;1629;;;;35;1888;1888;;;;35;1311;1311
;;;;;;;;;;36;266;266;;;;;;;;;;;;;;;;36;449;449;36;993;993;36;740;740;36;960;960;36;725;725;;;;36;1669;1669;;;;36;1947;1947;;;;36;1323;1323
;;;;;;;;;;37;275;275;;;;;;;;;;;;;;;;37;471;471;37;1005;1005;37;752;752;37;990;990;37;746;746;;;;37;1743;1743;;;;37;1981;1981;;;;37;1375;1375
;;;;;;;;;;38;275;275;;;;;;;;;;;;;;;;38;471;471;38;1016;1016;38;773;773;38;1002;1002;38;771;771;;;;38;1797;1797;;;;38;1996;1996;;;;38;1408;1408
;;;;;;;;;;39;275;275;;;;;;;;;;;;;;;;39;471;471;39;1048;1048;39;785;785;39;1014;1014;39;771;771;;;;39;1818;1818;;;;39;2062;2062;;;;39;1452;1452
;;;;;;;;;;40;282;282;;;;;;;;;;;;;;;;40;491;491;40;1059;1059;40;832;832;40;1093;1093;40;812;812;;;;40;1836;1836;;;;40;2074;2074;;;;40;1516;1516
;;;;;;;;;;41;282;282;;;;;;;;;;;;;;;;41;491;491;41;1070;1070;41;843;843;41;1100;1100;41;847;847;;;;41;1878;1878;;;;41;2098;2098;;;;41;1568;1568
;;;;;;;;;;42;282;282;;;;;;;;;;;;;;;;42;491;491;42;1078;1078;42;857;857;42;1135;1135;42;864;864;;;;42;1878;1878;;;;42;2191;2191;;;;42;1621;1621
;;;;;;;;;;43;289;289;;;;;;;;;;;;;;;;43;502;502;43;1107;1107;43;882;882;;;;43;889;889;;;;43;1887;1887;;;;43;2201;2201;;;;43;1673;1673
;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;502;502;44;1117;1117;44;882;882;;;;44;889;889;;;;44;1914;1914;;;;44;2225;2225;;;;44;1673;1673
;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;502;502;45;1149;1149;45;902;902;;;;45;938;938;;;;45;1991;1991;;;;45;2275;2275;;;;45;1699;1699
;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;502;502;46;1182;1182;46;923;923;;;;46;969;969;;;;46;2042;2042;;;;46;2285;2285;;;;46;1735;1735
;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;502;502;47;1228;1228;;;;;;;47;980;980;;;;47;2087;2087;;;;47;2316;2316;;;;47;1817;1817
;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;502;502;48;1238;1238;;;;;;;48;1017;1017;;;;48;2167;2167;;;;48;2372;2372;;;;48;1882;1882
;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;516;516;49;1247;1247;;;;;;;49;1061;1061;;;;49;2269;2269;;;;49;2492;2492;;;;49;1941;1941
;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;516;516;50;1286;1286;;;;;;;50;1097;1097;;;;50;2339;2339;;;;50;2551;2551;;;;50;1998;1998
;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;516;516;51;1298;1298;;;;;;;51;1107;1107;;;;51;2361;2361;;;;51;2565;2565;;;;51;2012;2012
;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;516;516;52;1337;1337;;;;;;;52;1171;1171;;;;52;2453;2453;;;;52;2617;2617;;;;52;2022;2022
;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;516;516;53;1363;1363;;;;;;;53;1179;1179;;;;53;2501;2501;;;;53;2640;2640;;;;53;2090;2090
;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;516;516;54;1420;1420;;;;;;;54;1218;1218;;;;54;2541;2541;;;;54;2750;2750;;;;54;2099;2099
;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;516;516;55;1454;1454;;;;;;;55;1240;1240;;;;55;2566;2566;;;;55;2804;2804;;;;55;2123;2123
;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;554;554;56;1454;1454;;;;;;;56;1269;1269;;;;56;2613;2613;;;;56;2858;2858;;;;56;2157;2157
;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;554;554;57;1454;1454;;;;;;;57;1269;1269;;;;57;2654;2654;;;;57;2902;2902;;;;57;2195;2195
;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;566;566;58;1487;1487;;;;;;;58;1280;1280;;;;58;2665;2665;;;;58;2971;2971;;;;58;2218;2218
;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;603;603;59;1498;1498;;;;;;;59;1291;1291;;;;59;2727;2727;;;;59;2971;2971;;;;59;2257;2257
;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;625;625;60;1526;1526;;;;;;;60;1313;1313;;;;60;2800;2800;;;;60;3025;3025;;;;60;2296;2296
;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;634;634;61;1538;1538;;;;;;;61;1333;1333;;;;61;2870;2870;;;;61;3040;3040;;;;61;2296;2296
;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;643;643;62;1548;1548;;;;;;;62;1333;1333;;;;62;2911;2911;;;;62;3093;3093;;;;62;2323;2323
;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;643;643;63;1548;1548;;;;;;;63;1343;1343;;;;63;2964;2964;;;;63;3106;3106;;;;63;2377;2377
;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;666;666;64;1572;1572;;;;;;;64;1382;1382;;;;64;3008;3008;;;;64;3116;3116;;;;64;2404;2404
;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;697;697;65;1583;1583;;;;;;;;;;;;;65;3076;3076;;;;65;3145;3145;;;;65;2443;2443
;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;697;697;66;1619;1619;;;;;;;;;;;;;66;3134;3134;;;;66;3165;3165;;;;66;2495;2495
;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;697;697;;;;;;;;;;;;;;;;67;3200;3200;;;;67;3192;3192;;;;67;2550;2550
;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;697;697;;;;;;;;;;;;;;;;68;3200;3200;;;;68;3218;3218;;;;68;2605;2605
;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;697;697;;;;;;;;;;;;;;;;69;3268;3268;;;;69;3250;3250;;;;69;2616;2616
;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;720;720;;;;;;;;;;;;;;;;70;3308;3308;;;;70;3274;3274;;;;70;2650;2650
;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;732;732;;;;;;;;;;;;;;;;71;3348;3348;;;;71;3355;3355;;;;71;2714;2714
;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;740;740;;;;;;;;;;;;;;;;72;3396;3396;;;;72;3399;3399;;;;72;2755;2755
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;3419;3419;;;;73;3437;3437;;;;73;2781;2781
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;3472;3472;;;;74;3484;3484;;;;74;2833;2833
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;3522;3522;;;;;;;;;;75;2861;2861
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;3636;3636;;;;;;;;;;76;2906;2906
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;3702;3702;;;;;;;;;;77;2943;2943
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;3722;3722;;;;;;;;;;78;2953;2953
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;2970;2970
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;3005;3005
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;3051;3051
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;3080;3080
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;3097;3097
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;3110;3110
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;3151;3151
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;3175;3175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;3224;3224
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;3240;3240
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;3278;3278
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;3319;3319
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;3413;3413
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;3471;3471
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;3471;3471
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;3471;3471
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;3481;3481
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;3525;3525
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;3564;3564
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;3604;3604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;3618;3618
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;3682;3682
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;3713;3713
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102;3790;3790
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;3812;3812
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;3840;3840
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;3923;3923
