[all run data];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;960;960;;;;;;;;;;;;;;;;;;;;;;;;;90;6207;6207;90;5302;5302
;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;974;974;;;;;;;;;;;;;;;;;;;;;;;;;91;6278;6278;91;5454;5454
;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;1002;1002;;;;;;;;;;;;;;;;;;;;;;;;;92;6349;6349;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;6386;6386;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;6436;6436;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;6461;6461;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;6535;6535;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;6572;6572;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;6672;6672;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;6720;6720;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;6720;6720;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;6745;6745;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102;6807;6807;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;6865;6865;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;6962;6962;;;
