;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;6;6;1;4;4;1;0;0;1;4;4;1;0;0;1;5;5;1;10;10;1;19;19;1;21;21;1;9;9;1;22;22;1;66;66;1;28;28;1;6;6;1;36;36;1;56;56;1;33;33;1;63;63;1;34;34;1;85;85
;2;6;6;2;9;9;2;4;4;2;7;7;2;2;2;2;15;15;2;12;12;2;22;22;2;25;25;2;16;16;2;43;43;2;79;79;2;46;46;2;13;13;2;58;58;2;122;122;2;84;84;2;108;108;2;86;86;2;169;169
;3;12;12;3;18;18;3;29;29;3;7;7;3;2;2;3;25;25;3;31;31;3;30;30;3;27;27;3;36;36;3;65;65;3;118;118;3;76;76;3;30;30;3;89;89;3;157;157;3;160;160;3;151;151;3;129;129;3;223;223
;;;;4;21;21;;;;4;12;12;4;10;10;4;48;48;4;39;39;4;49;49;4;35;35;4;36;36;4;71;71;4;153;153;4;98;98;4;43;43;4;96;96;4;192;192;4;200;200;4;191;191;4;169;169;4;258;258
;;;;5;21;21;;;;5;23;23;5;14;14;5;52;52;5;54;54;5;65;65;5;54;54;5;48;48;5;110;110;5;175;175;5;98;98;5;60;60;5;111;111;5;221;221;5;267;267;5;240;240;5;213;213;5;305;305
;;;;6;23;23;;;;6;26;26;6;24;24;6;69;69;;;;6;74;74;6;58;58;6;48;48;6;124;124;6;191;191;6;107;107;6;72;72;6;145;145;6;256;256;6;313;313;6;298;298;6;287;287;6;320;320
;;;;;;;;;;7;26;26;7;32;32;7;69;69;;;;7;77;77;7;61;61;7;70;70;7;138;138;7;210;210;7;120;120;7;93;93;7;164;164;7;286;286;7;365;365;7;357;357;7;295;295;7;359;359
;;;;;;;;;;8;35;35;8;40;40;8;76;76;;;;8;87;87;8;64;64;8;70;70;8;174;174;8;230;230;8;132;132;8;114;114;8;191;191;8;363;363;8;428;428;8;397;397;8;354;354;8;399;399
;;;;;;;;;;9;42;42;9;51;51;9;76;76;;;;9;92;92;9;75;75;9;73;73;9;199;199;9;265;265;9;152;152;9;130;130;9;222;222;9;402;402;9;463;463;9;415;415;9;393;393;9;443;443
;;;;;;;;;;10;44;44;10;59;59;10;86;86;;;;10;99;99;10;79;79;10;73;73;10;226;226;10;278;278;10;152;152;10;148;148;10;229;229;10;424;424;10;489;489;10;474;474;10;441;441;10;478;478
;;;;;;;;;;11;49;49;11;59;59;;;;;;;11;113;113;11;89;89;11;80;80;11;256;256;11;315;315;11;157;157;11;156;156;11;253;253;11;453;453;11;530;530;11;511;511;11;472;472;11;557;557
;;;;;;;;;;12;49;49;12;62;62;;;;;;;12;119;119;12;103;103;12;84;84;12;266;266;12;336;336;12;183;183;12;180;180;12;281;281;12;486;486;12;554;554;12;537;537;12;520;520;12;595;595
;;;;;;;;;;13;66;66;13;66;66;;;;;;;13;131;131;13;109;109;13;84;84;13;289;289;13;375;375;13;218;218;13;185;185;13;314;314;13;501;501;13;598;598;13;573;573;13;546;546;13;621;621
;;;;;;;;;;14;66;66;14;73;73;;;;;;;14;136;136;;;;14;93;93;14;309;309;14;410;410;14;237;237;14;217;217;14;329;329;14;547;547;14;634;634;14;635;635;14;563;563;14;639;639
;;;;;;;;;;15;66;66;15;81;81;;;;;;;15;138;138;;;;15;99;99;15;319;319;15;437;437;15;237;237;15;232;232;15;346;346;15;586;586;15;698;698;15;676;676;15;590;590;15;666;666
;;;;;;;;;;16;70;70;16;85;85;;;;;;;16;155;155;;;;16;105;105;16;326;326;16;454;454;16;255;255;16;249;249;16;353;353;16;616;616;16;775;775;16;723;723;16;632;632;16;723;723
;;;;;;;;;;17;76;76;17;89;89;;;;;;;17;163;163;;;;17;115;115;17;342;342;17;482;482;17;264;264;17;266;266;17;377;377;17;661;661;17;818;818;17;753;753;17;665;665;17;779;779
;;;;;;;;;;;;;18;89;89;;;;;;;18;176;176;;;;;;;18;362;362;18;520;520;18;290;290;18;280;280;18;396;396;18;673;673;18;874;874;18;782;782;18;708;708;18;798;798
;;;;;;;;;;;;;19;93;93;;;;;;;19;192;192;;;;;;;19;392;392;19;525;525;19;323;323;19;299;299;19;410;410;19;692;692;19;905;905;19;823;823;19;741;741;19;833;833
;;;;;;;;;;;;;20;93;93;;;;;;;;;;;;;;;;20;424;424;20;540;540;20;323;323;20;323;323;20;437;437;20;748;748;20;935;935;20;872;872;20;788;788;20;875;875
;;;;;;;;;;;;;21;97;97;;;;;;;;;;;;;;;;21;451;451;21;558;558;21;327;327;21;352;352;;;;21;794;794;21;992;992;;;;21;848;848;;;
;;;;;;;;;;;;;22;108;108;;;;;;;;;;;;;;;;22;479;479;22;598;598;22;336;336;22;362;362;;;;22;839;839;22;1025;1025;;;;22;884;884;;;
;;;;;;;;;;;;;23;108;108;;;;;;;;;;;;;;;;23;502;502;;;;23;342;342;23;391;391;;;;23;870;870;23;1079;1079;;;;23;951;951;;;
;;;;;;;;;;;;;24;108;108;;;;;;;;;;;;;;;;24;520;520;;;;24;355;355;24;418;418;;;;24;889;889;24;1112;1112;;;;24;969;969;;;
;;;;;;;;;;;;;25;112;112;;;;;;;;;;;;;;;;25;533;533;;;;25;380;380;25;444;444;;;;25;919;919;25;1138;1138;;;;25;1011;1011;;;
;;;;;;;;;;;;;26;132;132;;;;;;;;;;;;;;;;26;560;560;;;;26;385;385;26;473;473;;;;26;948;948;26;1178;1178;;;;26;1040;1040;;;
;;;;;;;;;;;;;27;132;132;;;;;;;;;;;;;;;;27;560;560;;;;27;401;401;27;504;504;;;;27;984;984;27;1212;1212;;;;27;1093;1093;;;
;;;;;;;;;;;;;28;132;132;;;;;;;;;;;;;;;;28;570;570;;;;28;401;401;28;526;526;;;;;;;28;1258;1258;;;;28;1149;1149;;;
;;;;;;;;;;;;;29;132;132;;;;;;;;;;;;;;;;29;601;601;;;;29;414;414;29;544;544;;;;;;;29;1293;1293;;;;29;1187;1187;;;
;;;;;;;;;;;;;30;137;137;;;;;;;;;;;;;;;;30;624;624;;;;30;430;430;30;544;544;;;;;;;30;1342;1342;;;;30;1223;1223;;;
;;;;;;;;;;;;;31;141;141;;;;;;;;;;;;;;;;31;637;637;;;;31;447;447;31;564;564;;;;;;;31;1360;1360;;;;31;1270;1270;;;
;;;;;;;;;;;;;32;141;141;;;;;;;;;;;;;;;;32;659;659;;;;32;470;470;32;581;581;;;;;;;32;1384;1384;;;;32;1313;1313;;;
;;;;;;;;;;;;;33;141;141;;;;;;;;;;;;;;;;33;681;681;;;;33;470;470;33;597;597;;;;;;;33;1417;1417;;;;33;1369;1369;;;
;;;;;;;;;;;;;34;144;144;;;;;;;;;;;;;;;;34;699;699;;;;34;485;485;34;602;602;;;;;;;34;1462;1462;;;;34;1413;1413;;;
;;;;;;;;;;;;;35;154;154;;;;;;;;;;;;;;;;35;735;735;;;;;;;35;620;620;;;;;;;35;1517;1517;;;;35;1435;1435;;;
;;;;;;;;;;;;;36;169;169;;;;;;;;;;;;;;;;36;749;749;;;;;;;36;643;643;;;;;;;36;1555;1555;;;;36;1467;1467;;;
;;;;;;;;;;;;;37;169;169;;;;;;;;;;;;;;;;37;764;764;;;;;;;37;659;659;;;;;;;37;1582;1582;;;;37;1510;1510;;;
;;;;;;;;;;;;;38;169;169;;;;;;;;;;;;;;;;38;789;789;;;;;;;38;682;682;;;;;;;38;1596;1596;;;;38;1532;1532;;;
;;;;;;;;;;;;;39;172;172;;;;;;;;;;;;;;;;39;827;827;;;;;;;39;686;686;;;;;;;39;1644;1644;;;;;;;;;
;;;;;;;;;;;;;40;176;176;;;;;;;;;;;;;;;;40;856;856;;;;;;;40;704;704;;;;;;;40;1676;1676;;;;;;;;;
;;;;;;;;;;;;;41;180;180;;;;;;;;;;;;;;;;41;872;872;;;;;;;41;727;727;;;;;;;41;1718;1718;;;;;;;;;
;;;;;;;;;;;;;42;183;183;;;;;;;;;;;;;;;;42;892;892;;;;;;;42;736;736;;;;;;;42;1750;1750;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;900;900;;;;;;;43;747;747;;;;;;;43;1804;1804;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;921;921;;;;;;;44;759;759;;;;;;;44;1855;1855;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;775;775;;;;;;;45;1880;1880;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;1927;1927;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;1966;1966;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;2004;2004;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;2052;2052;;;;;;;;;
